date,close,source
2010-07-18,0.0858,coinmetrics
2010-07-19,0.0808,coinmetrics
2010-07-20,0.0747,coinmetrics
2010-07-21,0.0792,coinmetrics
2010-07-22,0.0585,coinmetrics
2010-07-23,0.0606,coinmetrics
2010-07-24,0.0545,coinmetrics
2010-07-25,0.0505,coinmetrics
2010-07-26,0.0560,coinmetrics
2010-07-27,0.0586,coinmetrics
2010-07-28,0.0589,coinmetrics
2010-07-29,0.0699,coinmetrics
2010-07-30,0.0647,coinmetrics
2010-07-31,0.0675,coinmetrics
2010-08-01,0.0611,coinmetrics
2010-08-02,0.0600,coinmetrics
2010-08-03,0.0600,coinmetrics
2010-08-04,0.0570,coinmetrics
2010-08-05,0.0610,coinmetrics
2010-08-06,0.0617,coinmetrics
2010-08-07,0.0590,coinmetrics
2010-08-08,0.0609,coinmetrics
2010-08-09,0.0704,coinmetrics
2010-08-10,0.0693,coinmetrics
2010-08-11,0.0670,coinmetrics
2010-08-12,0.0700,coinmetrics
2010-08-13,0.0645,coinmetrics
2010-08-14,0.0670,coinmetrics
2010-08-15,0.0651,coinmetrics
2010-08-16,0.0655,coinmetrics
2010-08-17,0.0700,coinmetrics
2010-08-18,0.0680,coinmetrics
2010-08-19,0.0667,coinmetrics
2010-08-20,0.0655,coinmetrics
2010-08-21,0.0664,coinmetrics
2010-08-22,0.0659,coinmetrics
2010-08-23,0.0649,coinmetrics
2010-08-24,0.0650,coinmetrics
2010-08-25,0.0648,coinmetrics
2010-08-26,0.0641,coinmetrics
2010-08-27,0.0650,coinmetrics
2010-08-28,0.0646,coinmetrics
2010-08-29,0.0640,coinmetrics
2010-08-30,0.0650,coinmetrics
2010-08-31,0.0600,coinmetrics
2010-09-01,0.0620,coinmetrics
2010-09-02,0.0634,coinmetrics
2010-09-03,0.0609,coinmetrics
2010-09-04,0.0622,coinmetrics
2010-09-05,0.0617,coinmetrics
2010-09-06,0.0616,coinmetrics
2010-09-07,0.0612,coinmetrics
2010-09-08,0.0610,coinmetrics
2010-09-09,0.0611,coinmetrics
2010-09-10,0.0610,coinmetrics
2010-09-11,0.0636,coinmetrics
2010-09-12,0.0615,coinmetrics
2010-09-13,0.0622,coinmetrics
2010-09-14,0.0620,coinmetrics
2010-09-15,0.0604,coinmetrics
2010-09-16,0.0619,coinmetrics
2010-09-17,0.0600,coinmetrics
2010-09-18,0.0610,coinmetrics
2010-09-19,0.0627,coinmetrics
2010-09-20,0.0621,coinmetrics
2010-09-21,0.0626,coinmetrics
2010-09-22,0.0619,coinmetrics
2010-09-23,0.0622,coinmetrics
2010-09-24,0.0622,coinmetrics
2010-09-25,0.0620,coinmetrics
2010-09-26,0.0620,coinmetrics
2010-09-27,0.0622,coinmetrics
2010-09-28,0.0619,coinmetrics
2010-09-29,0.0619,coinmetrics
2010-09-30,0.0619,coinmetrics
2010-10-01,0.0620,coinmetrics
2010-10-02,0.0614,coinmetrics
2010-10-03,0.0611,coinmetrics
2010-10-04,0.0613,coinmetrics
2010-10-05,0.0614,coinmetrics
2010-10-06,0.0628,coinmetrics
2010-10-07,0.0670,coinmetrics
2010-10-08,0.0845,coinmetrics
2010-10-09,0.0938,coinmetrics
2010-10-10,0.0971,coinmetrics
2010-10-11,0.0950,coinmetrics
2010-10-12,0.0949,coinmetrics
2010-10-13,0.1049,coinmetrics
2010-10-14,0.1020,coinmetrics
2010-10-15,0.1050,coinmetrics
2010-10-16,0.1010,coinmetrics
2010-10-17,0.1020,coinmetrics
2010-10-18,0.1024,coinmetrics
2010-10-19,0.0975,coinmetrics
2010-10-20,0.0990,coinmetrics
2010-10-21,0.1070,coinmetrics
2010-10-22,0.1025,coinmetrics
2010-10-23,0.1046,coinmetrics
2010-10-24,0.1150,coinmetrics
2010-10-25,0.1391,coinmetrics
2010-10-26,0.1510,coinmetrics
2010-10-27,0.1877,coinmetrics
2010-10-28,0.1731,coinmetrics
2010-10-29,0.1900,coinmetrics
2010-10-30,0.1976,coinmetrics
2010-10-31,0.1925,coinmetrics
2010-11-01,0.1945,coinmetrics
2010-11-02,0.1938,coinmetrics
2010-11-03,0.1931,coinmetrics
2010-11-04,0.2293,coinmetrics
2010-11-05,0.2591,coinmetrics
2010-11-06,0.4010,coinmetrics
2010-11-07,0.3400,coinmetrics
2010-11-08,0.2432,coinmetrics
2010-11-09,0.2173,coinmetrics
2010-11-10,0.2296,coinmetrics
2010-11-11,0.2231,coinmetrics
2010-11-12,0.2682,coinmetrics
2010-11-13,0.2760,coinmetrics
2010-11-14,0.2790,coinmetrics
2010-11-15,0.2685,coinmetrics
2010-11-16,0.2250,coinmetrics
2010-11-17,0.2419,coinmetrics
2010-11-18,0.2691,coinmetrics
2010-11-19,0.2783,coinmetrics
2010-11-20,0.2830,coinmetrics
2010-11-21,0.2767,coinmetrics
2010-11-22,0.2850,coinmetrics
2010-11-23,0.2829,coinmetrics
2010-11-24,0.2829,coinmetrics
2010-11-25,0.2800,coinmetrics
2010-11-26,0.2844,coinmetrics
2010-11-27,0.2830,coinmetrics
2010-11-28,0.2714,coinmetrics
2010-11-29,0.2306,coinmetrics
2010-11-30,0.2082,coinmetrics
2010-12-01,0.2275,coinmetrics
2010-12-02,0.2550,coinmetrics
2010-12-03,0.2511,coinmetrics
2010-12-04,0.2050,coinmetrics
2010-12-05,0.2029,coinmetrics
2010-12-06,0.2040,coinmetrics
2010-12-07,0.2334,coinmetrics
2010-12-08,0.2388,coinmetrics
2010-12-09,0.2000,coinmetrics
2010-12-10,0.2040,coinmetrics
2010-12-11,0.2280,coinmetrics
2010-12-12,0.2199,coinmetrics
2010-12-13,0.2276,coinmetrics
2010-12-14,0.2467,coinmetrics
2010-12-15,0.2400,coinmetrics
2010-12-16,0.2500,coinmetrics
2010-12-17,0.2427,coinmetrics
2010-12-18,0.2410,coinmetrics
2010-12-19,0.2401,coinmetrics
2010-12-20,0.2670,coinmetrics
2010-12-21,0.2414,coinmetrics
2010-12-22,0.2500,coinmetrics
2010-12-23,0.2500,coinmetrics
2010-12-24,0.2480,coinmetrics
2010-12-25,0.2499,coinmetrics
2010-12-26,0.2650,coinmetrics
2010-12-27,0.2648,coinmetrics
2010-12-28,0.2810,coinmetrics
2010-12-29,0.3000,coinmetrics
2010-12-30,0.3000,coinmetrics
2010-12-31,0.3000,coinmetrics
2011-01-01,0.3000,coinmetrics
2011-01-02,0.3000,coinmetrics
2011-01-03,0.2950,coinmetrics
2011-01-04,0.2989,coinmetrics
2011-01-05,0.2989,coinmetrics
2011-01-06,0.2980,coinmetrics
2011-01-07,0.3200,coinmetrics
2011-01-08,0.3229,coinmetrics
2011-01-09,0.3230,coinmetrics
2011-01-10,0.3266,coinmetrics
2011-01-11,0.3266,coinmetrics
2011-01-12,0.3188,coinmetrics
2011-01-13,0.3176,coinmetrics
2011-01-14,0.4000,coinmetrics
2011-01-15,0.3860,coinmetrics
2011-01-16,0.3868,coinmetrics
2011-01-17,0.3495,coinmetrics
2011-01-18,0.3130,coinmetrics
2011-01-19,0.3130,coinmetrics
2011-01-20,0.3900,coinmetrics
2011-01-21,0.4199,coinmetrics
2011-01-22,0.4400,coinmetrics
2011-01-23,0.4424,coinmetrics
2011-01-24,0.4199,coinmetrics
2011-01-25,0.4100,coinmetrics
2011-01-26,0.4151,coinmetrics
2011-01-27,0.4212,coinmetrics
2011-01-28,0.4445,coinmetrics
2011-01-29,0.4390,coinmetrics
2011-01-30,0.4771,coinmetrics
2011-01-31,0.5251,coinmetrics
2011-02-01,0.7075,coinmetrics
2011-02-02,0.7254,coinmetrics
2011-02-03,0.6939,coinmetrics
2011-02-04,0.8110,coinmetrics
2011-02-05,0.9117,coinmetrics
2011-02-06,0.8980,coinmetrics
2011-02-07,0.8894,coinmetrics
2011-02-08,0.9180,coinmetrics
2011-02-09,1.0160,coinmetrics
2011-02-10,0.9797,coinmetrics
2011-02-11,1.0541,coinmetrics
2011-02-12,1.0787,coinmetrics
2011-02-13,1.0500,coinmetrics
2011-02-14,1.0700,coinmetrics
2011-02-15,1.0500,coinmetrics
2011-02-16,1.0317,coinmetrics
2011-02-17,1.0399,coinmetrics
2011-02-18,0.8990,coinmetrics
2011-02-19,0.9440,coinmetrics
2011-02-20,0.8650,coinmetrics
2011-02-21,0.8357,coinmetrics
2011-02-22,0.8770,coinmetrics
2011-02-23,0.9000,coinmetrics
2011-02-24,0.9891,coinmetrics
2011-02-25,0.9147,coinmetrics
2011-02-26,0.9580,coinmetrics
2011-02-27,0.8950,coinmetrics
2011-02-28,0.8602,coinmetrics
2011-03-01,0.9211,coinmetrics
2011-03-02,0.9399,coinmetrics
2011-03-03,0.9391,coinmetrics
2011-03-04,0.9011,coinmetrics
2011-03-05,0.9078,coinmetrics
2011-03-06,0.8848,coinmetrics
2011-03-07,0.8776,coinmetrics
2011-03-08,0.8661,coinmetrics
2011-03-09,0.8600,coinmetrics
2011-03-10,0.9207,coinmetrics
2011-03-11,0.8800,coinmetrics
2011-03-12,0.9178,coinmetrics
2011-03-13,0.8925,coinmetrics
2011-03-14,0.8939,coinmetrics
2011-03-15,0.8722,coinmetrics
2011-03-16,0.8512,coinmetrics
2011-03-17,0.8254,coinmetrics
2011-03-18,0.8020,coinmetrics
2011-03-19,0.7650,coinmetrics
2011-03-20,0.7415,coinmetrics
2011-03-21,0.7590,coinmetrics
2011-03-22,0.8091,coinmetrics
2011-03-23,0.8497,coinmetrics
2011-03-24,0.8724,coinmetrics
2011-03-25,0.8838,coinmetrics
2011-03-26,0.8552,coinmetrics
2011-03-27,0.8220,coinmetrics
2011-03-28,0.7947,coinmetrics
2011-03-29,0.7925,coinmetrics
2011-03-30,0.7897,coinmetrics
2011-03-31,0.7846,coinmetrics
2011-04-01,0.7741,coinmetrics
2011-04-02,0.7820,coinmetrics
2011-04-03,0.7790,coinmetrics
2011-04-04,0.6800,coinmetrics
2011-04-05,0.7157,coinmetrics
2011-04-06,0.7400,coinmetrics
2011-04-07,0.7538,coinmetrics
2011-04-08,0.7500,coinmetrics
2011-04-09,0.7341,coinmetrics
2011-04-10,0.7332,coinmetrics
2011-04-11,0.7701,coinmetrics
2011-04-12,0.8614,coinmetrics
2011-04-13,0.9303,coinmetrics
2011-04-14,0.9986,coinmetrics
2011-04-15,0.9837,coinmetrics
2011-04-16,1.0466,coinmetrics
2011-04-17,1.0981,coinmetrics
2011-04-18,1.1494,coinmetrics
2011-04-19,1.1852,coinmetrics
2011-04-20,1.1421,coinmetrics
2011-04-21,1.2073,coinmetrics
2011-04-22,1.4045,coinmetrics
2011-04-23,1.8289,coinmetrics
2011-04-24,1.6320,coinmetrics
2011-04-25,1.5645,coinmetrics
2011-04-26,1.7708,coinmetrics
2011-04-27,1.9032,coinmetrics
2011-04-28,2.2857,coinmetrics
2011-04-29,2.8506,coinmetrics
2011-04-30,3.5000,coinmetrics
2011-05-01,3.0942,coinmetrics
2011-05-02,3.2000,coinmetrics
2011-05-03,3.3606,coinmetrics
2011-05-04,3.4087,coinmetrics
2011-05-05,3.3437,coinmetrics
2011-05-06,3.4551,coinmetrics
2011-05-07,3.6413,coinmetrics
2011-05-08,3.8487,coinmetrics
2011-05-09,3.8041,coinmetrics
2011-05-10,5.6517,coinmetrics
2011-05-11,5.4398,coinmetrics
2011-05-12,6.3349,coinmetrics
2011-05-13,8.1390,coinmetrics
2011-05-14,7.0072,coinmetrics
2011-05-15,6.9249,coinmetrics
2011-05-16,7.8851,coinmetrics
2011-05-17,7.2572,coinmetrics
2011-05-18,6.7632,coinmetrics
2011-05-19,6.8901,coinmetrics
2011-05-20,5.6181,coinmetrics
2011-05-21,6.0848,coinmetrics
2011-05-22,6.7120,coinmetrics
2011-05-23,7.0653,coinmetrics
2011-05-24,7.4027,coinmetrics
2011-05-25,8.5693,coinmetrics
2011-05-26,8.7822,coinmetrics
2011-05-27,8.5287,coinmetrics
2011-05-28,8.3493,coinmetrics
2011-05-29,8.4009,coinmetrics
2011-05-30,8.7793,coinmetrics
2011-05-31,8.7216,coinmetrics
2011-06-01,9.6238,coinmetrics
2011-06-02,10.7028,coinmetrics
2011-06-03,14.2646,coinmetrics
2011-06-04,18.3127,coinmetrics
2011-06-05,16.5433,coinmetrics
2011-06-06,18.4021,coinmetrics
2011-06-07,23.2379,coinmetrics
2011-06-08,29.0299,coinmetrics
2011-06-09,28.7905,coinmetrics
2011-06-10,24.0494,coinmetrics
2011-06-11,14.7497,coinmetrics
2011-06-12,18.8501,coinmetrics
2011-06-13,19.5423,coinmetrics
2011-06-14,19.2577,coinmetrics
2011-06-15,19.4641,coinmetrics
2011-06-16,17.9294,coinmetrics
2011-06-17,15.4364,coinmetrics
2011-06-18,16.8754,coinmetrics
2011-06-19,17.5107,coinmetrics
2011-06-20,17.5107,coinmetrics
2011-06-21,17.5107,coinmetrics
2011-06-22,17.5107,coinmetrics
2011-06-23,17.5107,coinmetrics
2011-06-24,17.5107,coinmetrics
2011-06-25,17.5107,coinmetrics
2011-06-26,16.3613,coinmetrics
2011-06-27,16.7523,coinmetrics
2011-06-28,16.9618,coinmetrics
2011-06-29,16.8546,coinmetrics
2011-06-30,16.1853,coinmetrics
2011-07-01,15.4204,coinmetrics
2011-07-02,15.3828,coinmetrics
2011-07-03,15.4576,coinmetrics
2011-07-04,13.8528,coinmetrics
2011-07-05,12.9648,coinmetrics
2011-07-06,14.7148,coinmetrics
2011-07-07,14.7973,coinmetrics
2011-07-08,14.2990,coinmetrics
2011-07-09,14.3815,coinmetrics
2011-07-10,14.6229,coinmetrics
2011-07-11,14.3102,coinmetrics
2011-07-12,14.0213,coinmetrics
2011-07-13,13.9715,coinmetrics
2011-07-14,13.9980,coinmetrics
2011-07-15,13.8064,coinmetrics
2011-07-16,13.7131,coinmetrics
2011-07-17,13.2581,coinmetrics
2011-07-18,13.6305,coinmetrics
2011-07-19,13.8248,coinmetrics
2011-07-20,13.6783,coinmetrics
2011-07-21,13.6118,coinmetrics
2011-07-22,13.6985,coinmetrics
2011-07-23,13.6817,coinmetrics
2011-07-24,13.9925,coinmetrics
2011-07-25,14.0334,coinmetrics
2011-07-26,13.8780,coinmetrics
2011-07-27,13.8782,coinmetrics
2011-07-28,13.4916,coinmetrics
2011-07-29,13.5123,coinmetrics
2011-07-30,13.5403,coinmetrics
2011-07-31,13.3729,coinmetrics
2011-08-01,13.0191,coinmetrics
2011-08-02,12.2142,coinmetrics
2011-08-03,9.2864,coinmetrics
2011-08-04,10.7685,coinmetrics
2011-08-05,9.7302,coinmetrics
2011-08-06,6.9642,coinmetrics
2011-08-07,8.5018,coinmetrics
2011-08-08,7.7753,coinmetrics
2011-08-09,9.8025,coinmetrics
2011-08-10,10.0513,coinmetrics
2011-08-11,9.4384,coinmetrics
2011-08-12,9.4530,coinmetrics
2011-08-13,10.0040,coinmetrics
2011-08-14,10.8068,coinmetrics
2011-08-15,11.1307,coinmetrics
2011-08-16,10.9920,coinmetrics
2011-08-17,10.9640,coinmetrics
2011-08-18,10.8585,coinmetrics
2011-08-19,11.6705,coinmetrics
2011-08-20,11.4597,coinmetrics
2011-08-21,11.3545,coinmetrics
2011-08-22,10.9209,coinmetrics
