date,decision,r0,r1,r5,r21
2025-05-07,hold,0.0048,0.0661,0.0646,0.1160
2025-06-18,hold,0.0018,0.0008,0.0083,0.0649
2025-07-30,hold,-0.0012,-0.0172,-0.0227,-0.0305
2025-09-17,cut,-0.0019,0.0018,-0.0349,0.0564
2025-10-29,cut,-0.0246,-0.0439,-0.0574,-0.1917
2025-12-10,cut,-0.0076,-0.0020,-0.0696,-0.0570
2026-01-28,hold,-0.0009,-0.0531,-0.1181,-0.2563
2026-03-18,hold,-0.0382,-0.0558,-0.0453,-0.0405
2026-04-29,hold,-0.0066,0.0001,0.0463,0.0146
2026-06-17,hold,-0.0186,-0.0414,-0.0240,-0.0505
2026-07-29,hold,0.0007,0.0134,-0.0063,0.0848
