month,n,mean,median,hit_rate,geo_mean,std,t_logret,p_t,p_wilcoxon,mean_ci_lo,mean_ci_hi,median_ci_lo,median_ci_hi,best,worst
Jan,14,0.0338,0.0042,0.5000,0.0072,0.2464,0.1144,0.9107,0.8077,-0.0863,0.1615,-0.1355,0.1425,0.5143,-0.3222
Feb,14,0.1122,0.1174,0.7143,0.0847,0.2563,1.2982,0.2168,0.1353,-0.0131,0.2453,-0.0742,0.2271,0.6271,-0.3137
Mar,14,0.1215,-0.0013,0.5000,0.0524,0.5168,0.5684,0.5795,0.8552,-0.0764,0.4147,-0.0898,0.1557,1.8134,-0.3284
Apr,14,0.1221,0.1001,0.6429,0.1060,0.1977,2.1287,0.0530,0.0785,0.0244,0.2214,-0.0179,0.2863,0.4817,-0.1723
May,14,0.0902,0.0306,0.5000,0.0552,0.2962,0.7627,0.4593,0.4263,-0.0497,0.2453,-0.0813,0.1801,0.6639,-0.3538
Jun,14,-0.0207,-0.0066,0.5000,-0.0402,0.1956,-0.7196,0.4845,0.7609,-0.1198,0.0766,-0.1365,0.1200,0.2700,-0.3926
Jul,14,0.0786,0.0799,0.7143,0.0728,0.1151,2.4307,0.0303,0.0295,0.0205,0.1366,-0.0208,0.1919,0.2400,-0.0892
Aug,14,0.0272,-0.0745,0.3571,0.0059,0.2363,0.1069,0.9165,0.8077,-0.0797,0.1569,-0.1117,0.1298,0.6560,-0.1894
Sep,13,-0.0317,-0.0294,0.3846,-0.0349,0.0809,-1.5059,0.1579,0.2163,-0.0753,0.0094,-0.0776,0.0394,0.0729,-0.1865
Oct,13,0.1995,0.1479,0.7692,0.1807,0.2218,3.2362,0.0071,0.0081,0.0871,0.3172,0.0543,0.3269,0.6122,-0.1338
Nov,13,0.4140,0.0888,0.6154,0.1815,1.2583,1.1382,0.2773,0.2734,-0.0337,1.1472,-0.1617,0.3709,4.5061,-0.3699
Dec,13,0.0396,-0.0341,0.3846,0.0150,0.2378,0.2351,0.8181,0.8926,-0.0802,0.1674,-0.0720,0.1385,0.4759,-0.3482
