,mean,median,n,hit
Jan,0.2745,0.3175,11,0.6364
Feb,0.2443,0.0850,11,0.7273
Mar,0.2449,0.0879,11,0.7273
Apr,0.1775,0.0738,11,0.6364
May,0.3057,0.1187,11,0.5455
Jun,-0.0743,-0.0546,10,0.3000
Jul,0.1043,-0.0408,10,0.4000
Aug,0.0733,-0.0531,10,0.4000
Sep,-0.0670,-0.0918,10,0.4000
Oct,0.0376,0.0133,10,0.6000
Nov,0.0504,-0.0425,10,0.5000
Dec,0.0570,-0.0337,10,0.4000
