,OctNov,OctNov,OctNov,Q4,Q4,Q4,Q1,Q1,Q1,Q2,Q2,Q2,Q3,Q3,Q3,FullYear,FullYear,FullYear
,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count,mean,median,count
cycle_year,,,,,,,,,,,,,,,,,,
0.0000,0.3963,0.3719,4,0.7138,0.5339,4,0.1475,0.0026,4,0.3225,0.3939,4,0.2360,0.0930,4,1.8475,1.5642,4
1.0000,2.3206,0.8052,4,1.7061,1.1353,4,1.7393,0.5711,4,0.2790,0.1262,4,0.3721,0.3288,4,16.6903,6.9823,4
2.0000,-0.1806,-0.1162,3,-0.2559,-0.1762,3,-0.2791,-0.2982,4,-0.0979,-0.1096,4,-0.0148,0.0206,4,-0.6464,-0.6435,3
3.0000,0.3015,0.3979,3,0.4151,0.5649,3,0.1997,0.1104,3,0.5985,0.0782,3,-0.1513,-0.1150,3,0.9462,0.9439,3
